product_id,sku,product_name,category,subcategory,brand,color,size,unit_cost,list_price,supplier_country,launch_date,discontinued_date,is_active
P0015,FOO-SA-0015,Solace Deluxe Boot,Footwear,Sandals,Solace,Charcoal,US 6,14.44,31.99,Mexico,2026-02-01,,True
P0016,BEA-FR-0016,Nimbus Compact Shampoo,Beauty & Personal Care,Fragrance,Nimbus,N/A,One Size,42.67,93.99,Turkey,2024-11-20,,True
P0017,SPO-TE-0017,Kestrel Premium Jump Rope,Sports & Outdoors,Team Sports,Kestrel,N/A,One Size,22.31,37.99,India,2022-05-10,,True
P0018,ELE-SM-0018,Nimbus Premium Charger,Electronics,Smart Home,Nimbus,N/A,One Size,226.95,334.99,Bangladesh,2024-01-13,,True
P0019,HOM-BE-0019,Basecamp Core Skillet,Home & Kitchen,Bedding,Basecamp,Grey,One Size,78.69,129.99,Vietnam,2024-07-28,,True
P0020,APP-KI-0020,Basecamp Studio Sweater,Apparel,Kids,Basecamp,Olive,L,10.44,20.99,Portugal,2022-06-06,,True
P0021,APP-ME-0021,Lumina Everyday Tee,Apparel,Men's Tops,Lumina,White,S,7.88,16.99,USA,2022-12-01,,True
P0022,BEA-CO-0022,Verdant Everyday Eau de Parfum,Beauty & Personal Care,Cosmetics,Verdant,N/A,One Size,40.78,96.99,Turkey,2024-04-12,,True
P0023,FOO-SA-0023,Nimbus Core Boot,Footwear,Sandals,Nimbus,Navy,US 6,44.21,90.99,Bangladesh,2025-10-24,,True
P0024,GRO-PA-0024,Verdant Urban Sparkling Water,Grocery,Pantry,Verdant,N/A,One Size,18.64,23.99,Vietnam,2022-12-13,,True
P0025,HOM-DE-0025,Mercato Signature Cutting Board,Home & Kitchen,Decor,Mercato,White,One Size,45.22,77.99,Bangladesh,2024-04-16,,True
P0026,APP-KI-0026,Lumina Essential Polo,Apparel,Kids,Lumina,Sand,S,58.53,109.99,USA,2025-06-02,,True
P0027,APP-KI-0027,Copperleaf Studio Hoodie,Apparel,Kids,Copperleaf,Navy,XL,13.62,25.99,Vietnam,2024-11-05,2025-10-07,False
P0028,BEA-CO-0028,Basecamp Deluxe Shampoo,Beauty & Personal Care,Cosmetics,Basecamp,N/A,One Size,9.1,27.99,Bangladesh,2026-01-06,,True
P0029,HOM-ST-0029,Nimbus Lite Duvet,Home & Kitchen,Storage,Nimbus,White,One Size,19.63,34.99,Bangladesh,2024-10-24,,True
P0030,SPO-TE-0030,Copperleaf Essential Jump Rope,Sports & Outdoors,Team Sports,Copperleaf,N/A,One Size,111.17,205.99,Mexico,2023-01-14,,True
P0031,HOM-SM-0031,Copperleaf Deluxe Vase,Home & Kitchen,Small Appliances,Copperleaf,Navy,One Size,19.48,35.99,Portugal,2025-02-01,,True
P0032,ELE-CO-0032,Basecamp Compact Keyboard,Electronics,Computing,Basecamp,N/A,One Size,51.84,72.99,India,2024-01-03,,True
P0033,FOO-BO-0033,Solace Signature Hiker,Footwear,Boots,Solace,Olive,US 7,50.52,110.99,Mexico,2023-03-23,,True
P0034,BEA-FR-0034,Copperleaf Core Serum,Beauty & Personal Care,Fragrance,Copperleaf,N/A,One Size,18.27,37.99,Mexico,2025-10-25,,True
P0035,SPO-FI-0035,Basecamp Studio Bottle,Sports & Outdoors,Fitness,Basecamp,N/A,One Size,102.96,201.99,Vietnam,2022-08-28,,True
P0036,HOM-CO-0036,Northwind Studio Vase,Home & Kitchen,Cookware,Northwind,Charcoal,One Size,30.68,58.99,Turkey,2023-06-09,,True
P0037,APP-OU-0037,Aurora Compact Tee,Apparel,Outerwear,Aurora,Burgundy,XL,34.47,71.99,Bangladesh,2022-04-25,,True
P0038,FOO-FO-0038,Basecamp Trail Trainer,Footwear,Formal,Basecamp,Grey,US 6,24.08,41.99,Mexico,2024-05-16,,True
P0039,GRO-BE-0039,Ridgeline Studio Sparkling Water,Grocery,Beverages,Ridgeline,N/A,One Size,4.35,6.99,Mexico,2024-07-28,,True
P0040,HOM-CO-0040,Aurora Urban Blender,Home & Kitchen,Cookware,Aurora,Olive,One Size,68.02,104.99,Bangladesh,2024-05-07,,True
P0041,FOO-BO-0041,Solace Core Loafer,Footwear,Boots,Solace,Teal,US 11,15.98,37.99,Vietnam,2022-08-29,,True
P0042,APP-ME-0042,Halcyon Core Joggers,Apparel,Men's Tops,Halcyon,Black,XXL,12.61,23.99,India,2024-07-06,,True
P0043,APP-OU-0043,Vertex Classic Joggers,Apparel,Outerwear,Vertex,Teal,XXL,54.0,105.99,Bangladesh,2023-02-03,2024-12-02,False
P0044,BEA-CO-0044,Verdant Urban Serum,Beauty & Personal Care,Cosmetics,Verdant,N/A,One Size,5.22,10.99,Turkey,2022-11-13,,True
P0045,APP-KI-0045,Ridgeline Classic Hoodie,Apparel,Kids,Ridgeline,Black,L,10.73,24.99,Vietnam,2023-04-19,2025-09-21,False
P0046,BEA-SK-0046,Basecamp Premium Shampoo,Beauty & Personal Care,Skincare,Basecamp,N/A,One Size,3.34,10.99,India,2024-05-11,,True
P0047,APP-OU-0047,Lumina Signature Shirt,Apparel,Outerwear,Lumina,Navy,XS,25.0,57.99,Portugal,2023-11-04,,True
P0048,ELE-CO-0048,Aurora Everyday Monitor,Electronics,Computing,Aurora,N/A,One Size,37.01,47.99,Portugal,2024-04-03,,True
P0049,ELE-WE-0049,Verdant Essential Monitor,Electronics,Wearables,Verdant,N/A,One Size,45.59,55.99,China,2023-02-19,,True
P0050,HOM-ST-0050,Mercato Heritage Blender,Home & Kitchen,Storage,Mercato,Navy,One Size,55.44,92.99,Portugal,2022-12-27,,True
P0051,ELE-SM-0051,Solace Deluxe Hub,Electronics,Smart Home,Solace,N/A,One Size,399.54,593.99,Turkey,2022-06-28,,True
P0052,SPO-CA-0052,Fjord Classic Yoga Mat,Sports & Outdoors,Camping,Fjord,N/A,One Size,9.51,17.99,Vietnam,2022-07-24,,True
P0053,FOO-SN-0053,Ridgeline Core Runner,Footwear,Sneakers,Ridgeline,Burgundy,US 6,69.54,155.99,Turkey,2025-04-03,,True
P0054,GRO-BE-0054,Fjord Compact Olive Oil,Grocery,Beverages,Fjord,N/A,One Size,12.0,17.99,India,2023-10-27,,True
P0055,HOM-CO-0055,Fjord Premium Storage Set,Home & Kitchen,Cookware,Fjord,Teal,One Size,86.25,178.99,Bangladesh,2024-03-05,,True
P0056,ELE-SM-0056,Basecamp Pro Earbuds,Electronics,Smart Home,Basecamp,N/A,One Size,258.95,344.99,China,2025-05-30,,True
P0057,APP-KI-0057,Vertex Pro Hoodie,Apparel,Kids,Vertex,Charcoal,XXL,27.5,58.99,Mexico,2025-02-02,,True
P0058,BEA-CO-0058,Ridgeline Studio Serum,Beauty & Personal Care,Cosmetics,Ridgeline,N/A,One Size,7.05,17.99,India,2022-05-31,,True
P0059,SPO-CA-0059,Solace Urban Jump Rope,Sports & Outdoors,Camping,Solace,N/A,One Size,53.22,100.99,India,2023-08-22,,True
P0060,ELE-SM-0060,Copperleaf Studio Speaker,Electronics,Smart Home,Copperleaf,N/A,One Size,24.5,31.99,Mexico,2024-12-20,,True
P0061,HOM-BE-0061,Solace Classic Vase,Home & Kitchen,Bedding,Solace,Teal,One Size,60.19,110.99,Portugal,2023-11-25,,True
P0062,SPO-CY-0062,Ridgeline Essential Jump Rope,Sports & Outdoors,Cycling,Ridgeline,N/A,One Size,101.12,192.99,Vietnam,2024-05-27,,True
P0063,HOM-BE-0063,Nimbus Everyday Lamp,Home & Kitchen,Bedding,Nimbus,Burgundy,One Size,13.65,25.99,India,2022-03-12,,True
P0064,ELE-AU-0064,Copperleaf Signature Charger,Electronics,Audio,Copperleaf,N/A,One Size,653.84,866.99,Turkey,2023-06-10,2024-05-30,False
P0065,GRO-BE-0065,Verdant Essential Coffee Beans,Grocery,Beverages,Verdant,N/A,One Size,5.4,6.99,Vietnam,2023-09-04,,True
P0066,SPO-CY-0066,Ridgeline Lite Backpack,Sports & Outdoors,Cycling,Ridgeline,N/A,One Size,10.84,16.99,Bangladesh,2024-05-02,2026-01-27,False
P0067,APP-BO-0067,Ridgeline Lite Sweater,Apparel,Bottoms,Ridgeline,Teal,XXL,37.71,73.99,Bangladesh,2022-05-18,,True
P0068,ELE-MO-0068,Aurora Essential Smartwatch,Electronics,Mobile Accessories,Aurora,N/A,One Size,26.6,32.99,Portugal,2022-05-27,,True
P0069,FOO-FO-0069,Ridgeline Lite Slide,Footwear,Formal,Ridgeline,Black,US 8,39.94,94.99,Portugal,2024-03-31,,True
P0070,APP-KI-0070,Aurora Lite Tee,Apparel,Kids,Aurora,Teal,M,11.48,20.99,Portugal,2024-06-02,,True
P0071,BEA-HA-0071,Solace Trail Mask,Beauty & Personal Care,Haircare,Solace,N/A,One Size,40.31,88.99,India,2023-11-19,,True
P0072,HOM-BE-0072,Mercato Heritage Skillet,Home & Kitchen,Bedding,Mercato,Teal,One Size,13.09,21.99,Vietnam,2025-03-20,,True
P0073,BEA-FR-0073,Mercato Urban Mask,Beauty & Personal Care,Fragrance,Mercato,N/A,One Size,43.44,118.99,India,2023-05-31,,True
P0074,HOM-DE-0074,Kestrel Everyday Vase,Home & Kitchen,Decor,Kestrel,Grey,One Size,153.65,272.99,Mexico,2022-12-23,2025-04-27,False
P0075,APP-ME-0075,Mercato Classic Polo,Apparel,Men's Tops,Mercato,Navy,XL,24.34,48.99,Vietnam,2026-01-07,,True
P0076,APP-KI-0076,Kestrel Urban Jacket,Apparel,Kids,Kestrel,Black,L,20.88,37.99,India,2023-11-15,2024-08-19,False
P0077,ELE-CO-0077,Solace Compact Mouse,Electronics,Computing,Solace,N/A,One Size,34.57,44.99,USA,2022-07-06,,True
P0078,FOO-SA-0078,Lumina Signature Boot,Footwear,Sandals,Lumina,Black,US 6,35.86,75.99,Bangladesh,2025-08-16,,True
P0079,APP-KI-0079,Northwind Premium Tee,Apparel,Kids,Northwind,Sand,M,33.07,64.99,Vietnam,2024-05-14,,True
P0080,HOM-BE-0080,Vertex Core Cutting Board,Home & Kitchen,Bedding,Vertex,Grey,One Size,116.49,191.99,Bangladesh,2023-12-22,,True
P0081,SPO-TE-0081,Vertex Pro Bottle,Sports & Outdoors,Team Sports,Vertex,N/A,One Size,67.3,104.99,USA,2022-08-13,,True
P0082,FOO-SN-0082,Basecamp Classic Loafer,Footwear,Sneakers,Basecamp,Navy,US 12,60.48,127.99,China,2024-03-06,,True
P0083,APP-BO-0083,Halcyon Heritage Tee,Apparel,Bottoms,Halcyon,Black,L,18.3,47.99,Turkey,2026-02-18,,True
P0084,SPO-FI-0084,Copperleaf Lite Bottle,Sports & Outdoors,Fitness,Copperleaf,N/A,One Size,71.28,112.99,Vietnam,2022-10-22,,True
P0085,SPO-FI-0085,Northwind Classic Bike Light,Sports & Outdoors,Fitness,Northwind,N/A,One Size,16.2,30.99,India,2022-07-08,,True
P0086,BEA-FR-0086,Ridgeline Compact Eau de Parfum,Beauty & Personal Care,Fragrance,Ridgeline,N/A,One Size,17.89,58.99,Vietnam,2024-03-20,2025-07-26,False
P0087,ELE-WE-0087,Nimbus Everyday Hub,Electronics,Wearables,Nimbus,N/A,One Size,55.43,77.99,Bangladesh,2025-03-27,,True
P0088,SPO-TE-0088,Copperleaf Essential Dumbbell Set,Sports & Outdoors,Team Sports,Copperleaf,N/A,One Size,37.26,67.99,Bangladesh,2022-12-31,,True
P0089,BEA-FR-0089,Ridgeline Signature Eau de Parfum,Beauty & Personal Care,Fragrance,Ridgeline,N/A,One Size,2.87,8.99,Vietnam,2022-11-11,2025-01-24,False
P0090,APP-WO-0090,Vertex Signature Polo,Apparel,Women's Tops,Vertex,White,L,33.92,84.99,Turkey,2023-08-28,,True
P0091,HOM-BE-0091,Mercato Signature Blender,Home & Kitchen,Bedding,Mercato,Charcoal,One Size,11.13,18.99,China,2023-06-08,,True
P0092,FOO-SN-0092,Nimbus Compact Trainer,Footwear,Sneakers,Nimbus,Teal,US 12,17.18,36.99,China,2023-02-23,,True
P0093,ELE-CO-0093,Lumina Everyday Earbuds,Electronics,Computing,Lumina,N/A,One Size,73.98,110.99,Mexico,2023-12-25,,True
P0094,FOO-BO-0094,Ridgeline Pro Hiker,Footwear,Boots,Ridgeline,White,US 6,76.52,180.99,Bangladesh,2023-01-27,2025-07-02,False
P0095,APP-WO-0095,Verdant Deluxe Sweater,Apparel,Women's Tops,Verdant,Black,XXL,27.66,52.99,India,2023-01-24,,True
P0096,FOO-SA-0096,Verdant Lite Hiker,Footwear,Sandals,Verdant,White,US 6,63.15,136.99,China,2023-08-03,,True
P0097,FOO-FO-0097,Vertex Deluxe Slide,Footwear,Formal,Vertex,Navy,US 11,35.81,68.99,Turkey,2024-02-22,,True
P0098,HOM-SM-0098,Ridgeline Essential Duvet,Home & Kitchen,Small Appliances,Ridgeline,Charcoal,One Size,8.33,16.99,Turkey,2023-12-25,,True
P0099,HOM-ST-0099,Solace Deluxe Vase,Home & Kitchen,Storage,Solace,Grey,One Size,9.42,14.99,China,2024-02-19,,True
P0100,APP-ME-0100,Vertex Essential Joggers,Apparel,Men's Tops,Vertex,Black,M,6.7,16.99,Bangladesh,2024-07-05,,True
P0101,APP-BO-0101,Verdant Signature Hoodie,Apparel,Bottoms,Verdant,Grey,L,42.32,89.99,Vietnam,2025-12-24,,True
P0102,BEA-FR-0102,Mercato Classic Moisturizer,Beauty & Personal Care,Fragrance,Mercato,N/A,One Size,29.74,64.99,Bangladesh,2024-01-25,,True
P0103,GRO-BE-0103,Lumina Core Coffee Beans,Grocery,Beverages,Lumina,N/A,One Size,6.83,8.99,China,2023-07-08,,True
P0104,FOO-BO-0104,Ridgeline Compact Boot,Footwear,Boots,Ridgeline,Olive,US 9,55.11,111.99,China,2024-05-28,,True
P0105,SPO-CY-0105,Northwind Signature Bottle,Sports & Outdoors,Cycling,Northwind,N/A,One Size,152.07,278.99,Bangladesh,2023-11-26,,True
P0106,GRO-PA-0106,Basecamp Compact Dish Soap,Grocery,Pantry,Basecamp,N/A,One Size,5.51,7.99,Mexico,2024-03-20,,True
P0107,HOM-BE-0107,Kestrel Heritage Vase,Home & Kitchen,Bedding,Kestrel,Black,One Size,27.65,43.99,Mexico,2022-07-19,,True
P0108,FOO-SA-0108,Verdant Premium Runner,Footwear,Sandals,Verdant,Teal,US 7,92.78,166.99,USA,2022-09-01,,True
P0109,BEA-SK-0109,Copperleaf Core Moisturizer,Beauty & Personal Care,Skincare,Copperleaf,N/A,One Size,11.15,30.99,Mexico,2024-02-01,,True
P0110,FOO-BO-0110,Ridgeline Signature Slide,Footwear,Boots,Ridgeline,Grey,US 10,70.3,117.99,India,2023-08-08,,True
P0111,SPO-CA-0111,Kestrel Pro Backpack,Sports & Outdoors,Camping,Kestrel,N/A,One Size,41.33,72.99,Portugal,2023-03-30,,True
P0112,SPO-TE-0112,Nimbus Signature Yoga Mat,Sports & Outdoors,Team Sports,Nimbus,N/A,One Size,98.77,181.99,Mexico,2022-10-01,,True
P0113,FOO-SN-0113,Kestrel Essential Boot,Footwear,Sneakers,Kestrel,Sand,US 7,38.12,67.99,India,2023-02-21,,True
P0114,BEA-SK-0114,Aurora Deluxe Cleanser,Beauty & Personal Care,Skincare,Aurora,N/A,One Size,29.56,61.99,India,2024-03-30,,True
P0115,ELE-AU-0115,Basecamp Studio Charger,Electronics,Audio,Basecamp,N/A,One Size,710.17,877.99,USA,2025-08-07,,True
P0116,HOM-BE-0116,Aurora Heritage Cutting Board,Home & Kitchen,Bedding,Aurora,Olive,One Size,9.82,16.99,USA,2023-05-04,,True
P0117,GRO-PA-0117,Northwind Trail Coffee Beans,Grocery,Pantry,Northwind,N/A,One Size,12.47,19.99,China,2024-05-08,,True
P0118,BEA-HA-0118,Ridgeline Pro Shampoo,Beauty & Personal Care,Haircare,Ridgeline,N/A,One Size,24.51,72.99,China,2022-08-24,,True
P0119,ELE-WE-0119,Lumina Core Power Bank,Electronics,Wearables,Lumina,N/A,One Size,463.46,575.99,Turkey,2025-02-25,,True
P0120,ELE-AU-0120,Verdant Compact Earbuds,Electronics,Audio,Verdant,N/A,One Size,154.86,224.99,China,2024-09-15,,True
P0121,HOM-BE-0121,Verdant Classic Skillet,Home & Kitchen,Bedding,Verdant,Charcoal,One Size,19.4,36.99,Turkey,2023-02-20,,True
P0122,ELE-WE-0122,Basecamp Essential Speaker,Electronics,Wearables,Basecamp,N/A,One Size,271.52,338.99,China,2025-03-14,,True
P0123,ELE-WE-0123,Nimbus Deluxe Headphones,Electronics,Wearables,Nimbus,N/A,One Size,169.09,225.99,Portugal,2022-04-28,,True
P0124,APP-OU-0124,Lumina Urban Sweater,Apparel,Outerwear,Lumina,Sand,M,11.47,26.99,Mexico,2024-07-27,,True
P0125,APP-KI-0125,Mercato Lite Jacket,Apparel,Kids,Mercato,Burgundy,XS,11.97,24.99,Portugal,2023-12-13,,True
P0126,HOM-CO-0126,Kestrel Urban Blender,Home & Kitchen,Cookware,Kestrel,Black,One Size,64.51,100.99,USA,2023-09-10,,True
P0127,SPO-CY-0127,Aurora Urban Backpack,Sports & Outdoors,Cycling,Aurora,N/A,One Size,216.17,322.99,Portugal,2023-05-31,,True
P0128,APP-ME-0128,Copperleaf Everyday Jacket,Apparel,Men's Tops,Copperleaf,Teal,M,19.76,37.99,India,2025-09-12,,True
P0129,FOO-BO-0129,Lumina Signature Slide,Footwear,Boots,Lumina,Black,US 6,20.24,45.99,Portugal,2026-02-21,,True
P0130,SPO-CY-0130,Nimbus Compact Yoga Mat,Sports & Outdoors,Cycling,Nimbus,N/A,One Size,41.04,81.99,Portugal,2024-12-30,,True
P0131,HOM-SM-0131,Verdant Core Kettle,Home & Kitchen,Small Appliances,Verdant,Olive,One Size,167.87,296.99,USA,2023-04-12,,True
P0132,APP-WO-0132,Halcyon Pro Hoodie,Apparel,Women's Tops,Halcyon,Burgundy,M,6.44,15.99,Portugal,2024-02-10,,True
P0133,GRO-BE-0133,Verdant Signature Dish Soap,Grocery,Beverages,Verdant,N/A,One Size,4.24,5.99,India,2023-08-15,,True
P0134,FOO-SA-0134,Nimbus Pro Runner,Footwear,Sandals,Nimbus,Teal,US 7,21.09,36.99,USA,2023-08-27,,True
P0135,APP-BO-0135,Solace Deluxe Polo,Apparel,Bottoms,Solace,Grey,XS,26.61,60.99,Bangladesh,2025-09-15,,True
P0136,APP-OU-0136,Northwind Signature Sweater,Apparel,Outerwear,Northwind,Burgundy,S,30.54,55.99,Portugal,2023-10-04,,True
P0137,BEA-CO-0137,Kestrel Core Mask,Beauty & Personal Care,Cosmetics,Kestrel,N/A,One Size,7.35,18.99,China,2025-02-03,,True
P0138,GRO-BE-0138,Aurora Signature Dish Soap,Grocery,Beverages,Aurora,N/A,One Size,2.46,3.59,Vietnam,2022-06-23,,True
P0139,ELE-AU-0139,Lumina Trail Speaker,Electronics,Audio,Lumina,N/A,One Size,140.62,186.99,China,2022-03-02,,True
P0140,SPO-FI-0140,Northwind Essential Bike Light,Sports & Outdoors,Fitness,Northwind,N/A,One Size,177.7,262.99,Portugal,2023-11-02,,True
P0141,HOM-DE-0141,Aurora Lite Cutting Board,Home & Kitchen,Decor,Aurora,Olive,One Size,6.28,10.99,China,2023-01-23,,True
P0142,FOO-SN-0142,Aurora Trail Hiker,Footwear,Sneakers,Aurora,Grey,US 12,30.89,67.99,Bangladesh,2026-03-19,,True
P0143,ELE-WE-0143,Basecamp Classic Power Bank,Electronics,Wearables,Basecamp,N/A,One Size,616.6,924.99,Mexico,2024-12-26,,True
P0144,APP-WO-0144,Nimbus Compact Joggers,Apparel,Women's Tops,Nimbus,Black,XXL,9.17,16.99,USA,2025-12-28,,True
P0145,ELE-CO-0145,Nimbus Classic Headphones,Electronics,Computing,Nimbus,N/A,One Size,43.43,54.99,China,2022-03-14,,True
P0146,BEA-SK-0146,Solace Deluxe Serum,Beauty & Personal Care,Skincare,Solace,N/A,One Size,23.35,74.99,USA,2026-02-17,,True
P0147,SPO-FI-0147,Nimbus Urban Bike Light,Sports & Outdoors,Fitness,Nimbus,N/A,One Size,42.44,70.99,Portugal,2022-06-17,,True
P0148,APP-BO-0148,Ridgeline Compact Jacket,Apparel,Bottoms,Ridgeline,Charcoal,XXL,66.88,149.99,USA,2024-09-20,,True
P0149,GRO-SN-0149,Copperleaf Signature Coffee Beans,Grocery,Snacks,Copperleaf,N/A,One Size,1.76,2.33,China,2024-11-25,,True
P0150,HOM-DE-0150,Mercato Deluxe Kettle,Home & Kitchen,Decor,Mercato,Teal,One Size,85.56,156.99,Vietnam,2022-12-24,,True
P0151,ELE-AU-0151,Mercato Signature Charger,Electronics,Audio,Mercato,N/A,One Size,269.93,367.99,China,2023-08-27,,True
P0152,ELE-WE-0152,Verdant Essential Hub,Electronics,Wearables,Verdant,N/A,One Size,20.77,30.99,Turkey,2022-10-22,,True
P0153,ELE-CO-0153,Nimbus Urban Power Bank,Electronics,Computing,Nimbus,N/A,One Size,84.01,112.99,Turkey,2022-02-18,2024-02-01,False
P0154,HOM-DE-0154,Northwind Studio Lamp,Home & Kitchen,Decor,Northwind,Burgundy,One Size,24.38,48.99,Mexico,2025-06-02,,True
P0155,ELE-CO-0155,Mercato Premium Charger,Electronics,Computing,Mercato,N/A,One Size,157.45,205.99,Mexico,2023-07-07,,True
P0156,ELE-WE-0156,Verdant Lite Smartwatch,Electronics,Wearables,Verdant,N/A,One Size,238.11,318.99,China,2023-04-10,,True
P0157,HOM-CO-0157,Ridgeline Essential Lamp,Home & Kitchen,Cookware,Ridgeline,White,One Size,15.14,23.99,India,2026-03-08,,True
P0158,SPO-CY-0158,Ridgeline Premium Bike Light,Sports & Outdoors,Cycling,Ridgeline,N/A,One Size,16.0,25.99,China,2025-06-04,,True
P0159,HOM-ST-0159,Verdant Heritage Kettle,Home & Kitchen,Storage,Verdant,Navy,One Size,26.36,50.99,Portugal,2024-05-31,,True
P0160,APP-WO-0160,Basecamp Premium Hoodie,Apparel,Women's Tops,Basecamp,Charcoal,S,20.78,42.99,India,2022-10-24,,True
P0161,ELE-WE-0161,Kestrel Core Keyboard,Electronics,Wearables,Kestrel,N/A,One Size,27.91,39.99,Bangladesh,2024-06-09,,True
P0162,GRO-BE-0162,Mercato Urban Trail Mix,Grocery,Beverages,Mercato,N/A,One Size,22.21,33.99,Portugal,2025-05-25,,True
P0163,ELE-CO-0163,Solace Compact Smartwatch,Electronics,Computing,Solace,N/A,One Size,387.65,482.99,China,2022-10-30,,True
P0164,SPO-FI-0164,Copperleaf Premium Tent,Sports & Outdoors,Fitness,Copperleaf,N/A,One Size,34.11,53.99,Turkey,2022-07-24,,True
P0165,FOO-SN-0165,Vertex Essential Trainer,Footwear,Sneakers,Vertex,White,US 10,14.59,33.99,China,2022-09-13,,True
P0166,SPO-TE-0166,Lumina Core Jump Rope,Sports & Outdoors,Team Sports,Lumina,N/A,One Size,12.83,22.99,USA,2022-02-14,,True
P0167,FOO-SN-0167,Fjord Signature Boot,Footwear,Sneakers,Fjord,Burgundy,US 11,23.01,49.99,China,2023-02-01,,True
P0168,HOM-ST-0168,Nimbus Core Skillet,Home & Kitchen,Storage,Nimbus,White,One Size,10.67,18.99,Mexico,2025-12-13,,True
P0169,APP-ME-0169,Vertex Trail Jacket,Apparel,Men's Tops,Vertex,Sand,XS,17.75,43.99,Portugal,2023-04-16,,True
P0170,GRO-SN-0170,Lumina Signature Dish Soap,Grocery,Snacks,Lumina,N/A,One Size,16.04,20.99,Portugal,2023-07-26,,True
P0171,FOO-SN-0171,Verdant Premium Hiker,Footwear,Sneakers,Verdant,Charcoal,US 6,82.26,148.99,Bangladesh,2023-02-07,,True
P0172,APP-BO-0172,Verdant Studio Jacket,Apparel,Bottoms,Verdant,Sand,M,7.31,13.99,Bangladesh,2022-08-25,,True
P0173,SPO-FI-0173,Lumina Trail Yoga Mat,Sports & Outdoors,Fitness,Lumina,N/A,One Size,160.61,256.99,Turkey,2024-05-04,,True
P0174,GRO-SN-0174,Ridgeline Signature Sparkling Water,Grocery,Snacks,Ridgeline,N/A,One Size,21.56,30.99,Mexico,2022-02-27,,True
P0175,APP-KI-0175,Lumina Pro Shirt,Apparel,Kids,Lumina,White,XL,21.64,47.99,China,2022-06-22,,True
P0176,BEA-HA-0176,Solace Deluxe Cleanser,Beauty & Personal Care,Haircare,Solace,N/A,One Size,20.01,64.99,Mexico,2024-07-25,,True
P0177,HOM-DE-0177,Fjord Classic Lamp,Home & Kitchen,Decor,Fjord,Teal,One Size,7.53,12.99,Turkey,2023-01-25,,True
P0178,SPO-CA-0178,Ridgeline Pro Dumbbell Set,Sports & Outdoors,Camping,Ridgeline,N/A,One Size,25.11,43.99,Bangladesh,2022-09-08,,True
P0179,BEA-SK-0179,Kestrel Trail Lip Balm,Beauty & Personal Care,Skincare,Kestrel,N/A,One Size,3.44,7.99,Portugal,2023-05-13,2025-07-09,False
P0180,APP-WO-0180,Ridgeline Trail Chinos,Apparel,Women's Tops,Ridgeline,Teal,M,53.31,125.99,USA,2022-10-10,,True
P0181,APP-BO-0181,Northwind Pro Polo,Apparel,Bottoms,Northwind,Burgundy,XS,36.68,82.99,Portugal,2023-09-02,,True
P0182,APP-ME-0182,Copperleaf Deluxe Joggers,Apparel,Men's Tops,Copperleaf,Navy,XL,14.0,30.99,Bangladesh,2024-04-08,,True
P0183,APP-WO-0183,Vertex Everyday Tee,Apparel,Women's Tops,Vertex,Olive,XL,9.14,16.99,Mexico,2026-03-28,,True
P0184,HOM-BE-0184,Basecamp Core Duvet,Home & Kitchen,Bedding,Basecamp,Navy,One Size,31.2,58.99,Portugal,2023-01-05,,True
