order_id,order_date,order_timestamp,customer_id,channel,store_id,order_status,payment_method,promo_code,item_count,total_units,gross_subtotal,discount_amount,net_subtotal,shipping_fee,tax_amount,total_amount,currency,ship_city,ship_state,ship_postal_code,delivery_date
ORD-000016,2024-08-01,2024-08-01 23:30:42,C01894,In-Store,ST-008,Completed,Cash,,4,7,377.93,15.74,362.19,0.0,29.88,392.07,USD,N/A,N/A,N/A,2024-08-01
ORD-000017,2024-08-01,2024-08-01 09:33:21,C00090,In-Store,ST-001,Completed,Cash,,3,4,329.96,9.9,320.06,0.0,26.4,346.46,USD,N/A,N/A,N/A,2024-08-01
ORD-000018,2024-08-01,2024-08-01 12:18:14,C02000,In-Store,ST-012,Completed,Credit Card,,2,2,220.98,0.0,220.98,0.0,18.23,239.21,USD,N/A,N/A,N/A,2024-08-01
ORD-000019,2024-08-01,2024-08-01 15:32:01,C02430,Online,ST-999,Completed,Debit Card,,2,2,126.98,10.16,116.82,0.0,9.64,126.46,USD,San Jose,CA,95113,2024-08-04
ORD-000020,2024-08-01,2024-08-01 12:50:38,C01773,Online,ST-999,Completed,Credit Card,,2,2,453.98,13.62,440.36,0.0,36.33,476.69,USD,Portland,OR,97205,2024-08-02
ORD-000021,2024-08-01,2024-08-01 11:54:17,C02141,Online,ST-999,Completed,Credit Card,,1,3,53.97,1.62,52.35,9.99,4.32,66.66,USD,Boston,MA,02108,2024-08-08
ORD-000022,2024-08-01,2024-08-01 13:52:07,C00583,Online,ST-999,Completed,Apple Pay,,1,1,88.99,2.67,86.32,0.0,7.12,93.44,USD,San Jose,CA,95113,2024-08-04
ORD-000023,2024-08-01,2024-08-01 15:08:06,C02138,Online,ST-999,Completed,Debit Card,,2,5,700.95,110.64,590.31,0.0,48.7,639.01,USD,Denver,CO,80202,2024-08-08
ORD-000024,2024-08-01,2024-08-01 14:19:34,C00368,Online,ST-999,Completed,Credit Card,,4,6,288.94,14.45,274.49,0.0,22.65,297.14,USD,Dallas,TX,75201,2024-08-03
ORD-000025,2024-08-01,2024-08-01 19:03:26,C02635,Online,ST-999,Completed,Credit Card,,3,3,197.97,22.59,175.38,0.0,14.47,189.85,USD,Minneapolis,MN,55401,2024-08-04
ORD-000026,2024-08-01,2024-08-01 13:44:16,C01653,In-Store,ST-004,Completed,Credit Card,,1,1,16.99,2.55,14.44,0.0,1.19,15.63,USD,N/A,N/A,N/A,2024-08-01
ORD-000027,2024-08-01,2024-08-01 22:42:50,C01313,In-Store,ST-009,Completed,Credit Card,,1,2,331.98,33.2,298.78,0.0,24.65,323.43,USD,N/A,N/A,N/A,2024-08-01
ORD-000028,2024-08-01,2024-08-01 22:55:30,C01789,Online,ST-999,Completed,Debit Card,,3,4,47.96,0.0,47.96,6.99,3.96,58.91,USD,San Jose,CA,95113,2024-08-05
ORD-000029,2024-08-01,2024-08-01 05:45:41,C00185,In-Store,ST-001,Completed,Credit Card,,1,1,58.99,2.95,56.04,0.0,4.62,60.66,USD,N/A,N/A,N/A,2024-08-01
ORD-000030,2024-08-02,2024-08-02 20:50:47,C01019,Online,ST-999,Completed,Credit Card,,4,7,311.93,64.95,246.98,0.0,20.38,267.36,USD,San Jose,CA,95113,2024-08-04
ORD-000031,2024-08-02,2024-08-02 17:00:43,C01596,In-Store,ST-011,Completed,Apple Pay,,1,1,47.99,9.6,38.39,0.0,3.17,41.56,USD,N/A,N/A,N/A,2024-08-02
ORD-000032,2024-08-02,2024-08-02 11:57:43,C00704,Online,ST-999,Completed,Credit Card,,1,1,334.99,10.05,324.94,0.0,26.81,351.75,USD,Miami,FL,33130,2024-08-04
ORD-000033,2024-08-02,2024-08-02 14:34:45,C00735,Online,ST-999,Completed,Credit Card,,1,3,53.97,2.7,51.27,9.99,4.23,65.49,USD,Seattle,WA,98101,2024-08-05
ORD-000034,2024-08-02,2024-08-02 15:13:32,C01260,In-Store,ST-004,Completed,Credit Card,,1,1,57.99,1.74,56.25,0.0,4.64,60.89,USD,N/A,N/A,N/A,2024-08-02
ORD-000035,2024-08-02,2024-08-02 16:59:24,C01794,Online,ST-999,Completed,PayPal,,2,2,45.98,3.68,42.3,4.99,3.49,50.78,USD,Seattle,WA,98101,2024-08-04
ORD-000036,2024-08-02,2024-08-02 20:40:21,C01858,Online,ST-999,Completed,PayPal,,1,1,89.99,4.5,85.49,0.0,7.05,92.54,USD,Seattle,WA,98101,2024-08-04
ORD-000037,2024-08-02,2024-08-02 12:15:01,C02643,In-Store,ST-002,Completed,Gift Card,,4,5,983.95,142.8,841.15,0.0,69.39,910.54,USD,N/A,N/A,N/A,2024-08-02
ORD-000038,2024-08-02,2024-08-02 16:42:00,C02383,Online,ST-999,Completed,Credit Card,,2,3,60.97,6.83,54.14,6.99,4.47,65.6,USD,Seattle,WA,98101,2024-08-07
ORD-000039,2024-08-02,2024-08-02 12:21:40,C00478,In-Store,ST-008,Completed,Credit Card,,4,10,2503.9,75.12,2428.78,0.0,200.37,2629.15,USD,N/A,N/A,N/A,2024-08-02
ORD-000040,2024-08-02,2024-08-02 15:39:01,C02559,Online,ST-999,Completed,Apple Pay,,2,2,80.98,5.9,75.08,0.0,6.19,81.27,USD,Phoenix,AZ,85004,2024-08-05
ORD-000041,2024-08-02,2024-08-02 15:51:10,C01633,Online,ST-999,Completed,PayPal,,1,1,318.99,57.42,261.57,0.0,21.58,283.15,USD,Atlanta,GA,30303,2024-08-05
ORD-000042,2024-08-02,2024-08-02 13:49:20,C00891,Online,ST-999,Completed,Credit Card,,4,4,155.96,22.48,133.48,0.0,11.01,144.49,USD,Minneapolis,MN,55401,2024-08-04
ORD-000043,2024-08-02,2024-08-02 17:36:38,C00842,Online,ST-999,Completed,Debit Card,,2,2,332.98,2.7,330.28,0.0,27.25,357.53,USD,Portland,OR,97205,2024-08-06
ORD-000044,2024-08-02,2024-08-02 16:08:21,C01986,Online,ST-999,Completed,Credit Card,,6,6,551.94,0.0,551.94,0.0,45.54,597.48,USD,Phoenix,AZ,85004,2024-08-05
ORD-000045,2024-08-02,2024-08-02 12:13:39,C00018,In-Store,ST-004,Completed,Debit Card,,2,3,174.97,5.25,169.72,0.0,14.0,183.72,USD,N/A,N/A,N/A,2024-08-02
ORD-000046,2024-08-02,2024-08-02 16:06:35,C00530,In-Store,ST-004,Completed,PayPal,,2,2,51.98,2.6,49.38,0.0,4.07,53.45,USD,N/A,N/A,N/A,2024-08-02
ORD-000047,2024-08-02,2024-08-02 12:15:43,C02288,In-Store,ST-011,Completed,Debit Card,,1,1,57.99,0.0,57.99,0.0,4.78,62.77,USD,N/A,N/A,N/A,2024-08-02
ORD-000048,2024-08-02,2024-08-02 12:43:11,C02850,Online,ST-999,Completed,Debit Card,,1,1,143.99,14.4,129.59,0.0,10.69,140.28,USD,Austin,TX,78701,2024-08-04
ORD-000049,2024-08-02,2024-08-02 17:51:52,C02966,In-Store,ST-005,Completed,Apple Pay,,1,1,13.99,0.42,13.57,0.0,1.12,14.69,USD,N/A,N/A,N/A,2024-08-02
ORD-000050,2024-08-02,2024-08-02 09:45:44,C02054,Online,ST-999,Completed,Credit Card,,2,3,85.97,4.3,81.67,0.0,6.74,88.41,USD,New York,NY,10007,2024-08-04
ORD-000051,2024-08-02,2024-08-02 17:25:15,C00358,Online,ST-999,Completed,Gift Card,,4,6,249.94,5.0,244.94,0.0,20.21,265.15,USD,Denver,CO,80202,2024-08-04
ORD-000052,2024-08-02,2024-08-02 19:28:47,C02076,Online,ST-999,Completed,Gift Card,,1,1,32.99,5.94,27.05,6.99,2.23,36.27,USD,Boston,MA,02108,2024-08-05
ORD-000053,2024-08-02,2024-08-02 21:48:56,C02978,In-Store,ST-010,Completed,Credit Card,,2,2,191.98,28.6,163.38,0.0,13.48,176.86,USD,N/A,N/A,N/A,2024-08-02
ORD-000054,2024-08-02,2024-08-02 14:30:14,C01813,Online,ST-999,Completed,Credit Card,,3,5,434.95,23.05,411.9,0.0,33.98,445.88,USD,Portland,OR,97205,2024-08-09
ORD-000055,2024-08-02,2024-08-02 06:11:18,C01604,In-Store,ST-001,Completed,Credit Card,,1,1,30.99,0.0,30.99,0.0,2.56,33.55,USD,N/A,N/A,N/A,2024-08-02
ORD-000056,2024-08-02,2024-08-02 19:16:56,C01363,Online,ST-999,Completed,Debit Card,,1,1,82.99,6.64,76.35,0.0,6.3,82.65,USD,Boston,MA,02108,2024-08-03
ORD-000057,2024-08-02,2024-08-02 15:37:27,C00764,In-Store,ST-001,Completed,Credit Card,,1,1,348.99,17.45,331.54,0.0,27.35,358.89,USD,N/A,N/A,N/A,2024-08-02
ORD-000058,2024-08-03,2024-08-03 21:51:56,C01563,In-Store,ST-003,Completed,Cash,,5,5,469.95,27.7,442.25,0.0,36.49,478.74,USD,N/A,N/A,N/A,2024-08-03
ORD-000059,2024-08-03,2024-08-03 10:04:53,C00271,Online,ST-999,Completed,PayPal,,2,4,799.96,84.3,715.66,0.0,59.04,774.7,USD,Boston,MA,02108,2024-08-10
ORD-000060,2024-08-03,2024-08-03 14:20:00,C01448,Online,ST-999,Completed,Debit Card,,1,1,71.99,0.0,71.99,4.99,5.94,82.92,USD,Denver,CO,80202,2024-08-06
ORD-000061,2024-08-03,2024-08-03 13:14:31,C02245,Online,ST-999,Completed,Debit Card,,1,2,251.98,7.56,244.42,0.0,20.16,264.58,USD,Seattle,WA,98101,2024-08-05
ORD-000062,2024-08-03,2024-08-03 16:35:06,C02614,In-Store,ST-008,Completed,Debit Card,,3,6,499.94,19.2,480.74,0.0,39.66,520.4,USD,N/A,N/A,N/A,2024-08-03
ORD-000063,2024-08-03,2024-08-03 15:53:02,C02094,Online,ST-999,Completed,Credit Card,,1,1,36.99,1.85,35.14,6.99,2.9,45.03,USD,Los Angeles,CA,90012,2024-08-04
ORD-000064,2024-08-03,2024-08-03 13:43:39,C02884,Online,ST-999,Completed,Credit Card,,1,2,313.98,0.0,313.98,0.0,25.9,339.88,USD,New York,NY,10007,2024-08-05
ORD-000065,2024-08-03,2024-08-03 08:32:49,C02667,In-Store,ST-010,Completed,Cash,,1,1,125.99,10.08,115.91,0.0,9.56,125.47,USD,N/A,N/A,N/A,2024-08-03
ORD-000066,2024-08-03,2024-08-03 16:28:13,C00560,Online,ST-999,Completed,Debit Card,,1,1,94.99,0.0,94.99,0.0,7.84,102.83,USD,Minneapolis,MN,55401,2024-08-07
ORD-000067,2024-08-03,2024-08-03 18:11:29,C00225,In-Store,ST-005,Completed,Credit Card,,2,5,309.95,42.79,267.16,0.0,22.04,289.2,USD,N/A,N/A,N/A,2024-08-03
ORD-000068,2024-08-03,2024-08-03 09:01:53,C00457,Online,ST-999,Completed,Credit Card,,1,1,53.99,1.62,52.37,6.99,4.32,63.68,USD,Philadelphia,PA,19106,2024-08-04
ORD-000069,2024-08-03,2024-08-03 15:25:00,C00396,Online,ST-999,Completed,Credit Card,,3,4,588.96,29.45,559.51,0.0,46.16,605.67,USD,Seattle,WA,98101,2024-08-05
ORD-000070,2024-08-03,2024-08-03 20:36:30,C01816,Online,ST-999,Completed,PayPal,,3,5,254.95,3.85,251.1,0.0,20.72,271.82,USD,Minneapolis,MN,55401,2024-08-10
ORD-000071,2024-08-03,2024-08-03 18:02:42,C01551,Online,ST-999,Completed,Debit Card,,3,4,310.96,48.58,262.38,0.0,21.65,284.03,USD,Phoenix,AZ,85004,2024-08-04
ORD-000072,2024-08-03,2024-08-03 07:54:18,C00662,Online,ST-999,Cancelled,PayPal,,1,1,256.99,46.26,210.73,0.0,17.39,228.12,USD,Atlanta,GA,30303,
ORD-000073,2024-08-03,2024-08-03 10:30:52,C01352,In-Store,ST-011,Completed,Credit Card,,3,3,136.97,0.0,136.97,0.0,11.3,148.27,USD,N/A,N/A,N/A,2024-08-03
ORD-000074,2024-08-03,2024-08-03 10:18:57,C01777,Online,ST-999,Completed,Credit Card,,1,1,32.99,6.6,26.39,4.99,2.18,33.56,USD,Atlanta,GA,30303,2024-08-06
ORD-000075,2024-08-03,2024-08-03 15:37:48,C02345,In-Store,ST-008,Completed,Credit Card,,1,1,50.99,2.55,48.44,0.0,4.0,52.44,USD,N/A,N/A,N/A,2024-08-03
ORD-000076,2024-08-03,2024-08-03 19:55:23,C00445,Online,ST-999,Completed,PayPal,,4,9,306.91,12.6,294.31,0.0,24.28,318.59,USD,Los Angeles,CA,90012,2024-08-04
ORD-000077,2024-08-03,2024-08-03 12:45:19,C00058,Online,ST-999,Completed,Credit Card,,1,4,27.96,0.0,27.96,4.99,2.31,35.26,USD,Denver,CO,80202,2024-08-05
ORD-000078,2024-08-03,2024-08-03 22:09:06,C01387,Online,ST-999,Completed,Debit Card,,2,2,48.98,0.0,48.98,4.99,4.04,58.01,USD,Columbus,OH,43215,2024-08-08
ORD-000079,2024-08-03,2024-08-03 20:51:12,C02161,Online,ST-999,Completed,PayPal,,1,3,101.97,8.16,93.81,0.0,7.74,101.55,USD,New York,NY,10007,2024-08-10
ORD-000080,2024-08-03,2024-08-03 13:23:57,C01969,Online,ST-999,Completed,Gift Card,,1,1,73.99,5.92,68.07,6.99,5.62,80.68,USD,Denver,CO,80202,2024-08-07
ORD-000081,2024-08-03,2024-08-03 12:33:26,C02707,Online,ST-999,Completed,Debit Card,,2,2,102.98,16.15,86.83,0.0,7.16,93.99,USD,San Jose,CA,95113,2024-08-04
ORD-000082,2024-08-03,2024-08-03 07:21:58,C01309,In-Store,ST-011,Completed,Credit Card,,1,2,157.98,7.9,150.08,0.0,12.38,162.46,USD,N/A,N/A,N/A,2024-08-03
ORD-000083,2024-08-03,2024-08-03 07:57:33,C00373,Online,ST-999,Completed,Debit Card,,1,1,322.99,25.84,297.15,0.0,24.51,321.66,USD,Columbus,OH,43215,2024-08-06
ORD-000084,2024-08-03,2024-08-03 14:38:24,C02194,Online,ST-999,Completed,Credit Card,,4,7,552.93,22.79,530.14,0.0,43.74,573.88,USD,New York,NY,10007,2024-08-07
ORD-000085,2024-08-03,2024-08-03 13:08:02,C00982,Online,ST-999,Completed,Debit Card,,3,6,695.94,89.23,606.71,0.0,50.05,656.76,USD,Minneapolis,MN,55401,2024-08-04
ORD-000086,2024-08-03,2024-08-03 19:00:51,C01772,In-Store,ST-003,Completed,Credit Card,,3,6,264.94,7.95,256.99,0.0,21.2,278.19,USD,N/A,N/A,N/A,2024-08-03
ORD-000087,2024-08-03,2024-08-03 13:15:54,C02899,Online,ST-999,Completed,PayPal,,5,5,748.95,46.47,702.48,0.0,57.95,760.43,USD,Philadelphia,PA,19106,2024-08-07
ORD-000088,2024-08-03,2024-08-03 10:40:00,C02946,In-Store,ST-001,Completed,Credit Card,,2,6,195.94,15.2,180.74,0.0,14.91,195.65,USD,N/A,N/A,N/A,2024-08-03
ORD-000089,2024-08-03,2024-08-03 10:38:21,C02666,Online,ST-999,Completed,PayPal,,2,5,240.95,22.24,218.71,0.0,18.04,236.75,USD,Miami,FL,33130,2024-08-04
ORD-000090,2024-08-03,2024-08-03 20:39:54,C01157,Online,ST-999,Completed,Debit Card,,1,1,16.99,4.25,12.74,6.99,1.05,20.78,USD,Denver,CO,80202,2024-08-07
ORD-000091,2024-08-03,2024-08-03 10:08:31,C02841,In-Store,ST-003,Completed,Apple Pay,,1,1,20.99,0.63,20.36,0.0,1.68,22.04,USD,N/A,N/A,N/A,2024-08-03
ORD-000092,2024-08-03,2024-08-03 15:35:13,C02896,In-Store,ST-004,Completed,Debit Card,,5,7,407.93,0.9,407.03,0.0,33.58,440.61,USD,N/A,N/A,N/A,2024-08-03
ORD-000093,2024-08-03,2024-08-03 13:08:10,C01283,Online,ST-999,Cancelled,PayPal,,5,7,731.93,0.0,731.93,0.0,60.38,792.31,USD,Phoenix,AZ,85004,
ORD-000094,2024-08-03,2024-08-03 21:50:04,C00417,Online,ST-999,Cancelled,PayPal,,6,13,1497.87,15.5,1482.37,0.0,122.3,1604.67,USD,Los Angeles,CA,90012,
ORD-000095,2024-08-04,2024-08-04 14:40:09,C00984,Online,ST-999,Completed,Credit Card,,1,1,205.99,37.08,168.91,0.0,13.94,182.85,USD,Boston,MA,02108,2024-08-09
ORD-000096,2024-08-04,2024-08-04 16:12:27,C02167,Online,ST-999,Completed,PayPal,,4,5,482.95,14.49,468.46,0.0,38.65,507.11,USD,Minneapolis,MN,55401,2024-08-07
ORD-000097,2024-08-04,2024-08-04 13:08:41,C01648,In-Store,ST-003,Completed,Debit Card,,1,2,111.98,22.4,89.58,0.0,7.39,96.97,USD,N/A,N/A,N/A,2024-08-04
ORD-000098,2024-08-04,2024-08-04 22:40:17,C02692,In-Store,ST-006,Completed,Credit Card,,1,1,312.99,0.0,312.99,0.0,25.82,338.81,USD,N/A,N/A,N/A,2024-08-04
ORD-000099,2024-08-04,2024-08-04 14:07:28,C01094,In-Store,ST-010,Completed,Cash,,1,1,54.99,1.65,53.34,0.0,4.4,57.74,USD,N/A,N/A,N/A,2024-08-04
ORD-000100,2024-08-04,2024-08-04 21:05:37,C00228,In-Store,ST-003,Completed,Cash,,1,1,36.99,0.0,36.99,0.0,3.05,40.04,USD,N/A,N/A,N/A,2024-08-04
ORD-000101,2024-08-04,2024-08-04 11:27:49,C01418,Online,ST-999,Completed,Apple Pay,,2,3,49.97,8.2,41.77,4.99,3.45,50.21,USD,Dallas,TX,75201,2024-08-06
ORD-000102,2024-08-04,2024-08-04 13:20:08,C02852,Online,ST-999,Completed,Debit Card,,3,5,623.95,34.1,589.85,0.0,48.66,638.51,USD,Phoenix,AZ,85004,2024-08-09
ORD-000103,2024-08-04,2024-08-04 14:31:47,C02094,Online,ST-999,Completed,Credit Card,,4,5,311.95,23.2,288.75,0.0,23.82,312.57,USD,Los Angeles,CA,90012,2024-08-06
ORD-000104,2024-08-04,2024-08-04 18:45:25,C02726,In-Store,ST-003,Completed,Credit Card,,2,2,51.98,2.6,49.38,0.0,4.07,53.45,USD,N/A,N/A,N/A,2024-08-04
ORD-000105,2024-08-04,2024-08-04 11:15:50,C01594,Online,ST-999,Completed,Credit Card,,2,3,21.97,0.0,21.97,9.99,1.81,33.77,USD,Chicago,IL,60601,2024-08-09
ORD-000106,2024-08-04,2024-08-04 18:49:43,C01380,Online,ST-999,Completed,Apple Pay,,3,6,282.94,24.8,258.14,0.0,21.3,279.44,USD,Minneapolis,MN,55401,2024-08-06
ORD-000107,2024-08-04,2024-08-04 20:29:42,C02295,In-Store,ST-001,Completed,Apple Pay,,2,2,92.98,16.39,76.59,0.0,6.32,82.91,USD,N/A,N/A,N/A,2024-08-04
ORD-000108,2024-08-04,2024-08-04 09:37:15,C01458,In-Store,ST-003,Completed,Cash,,3,3,357.97,60.54,297.43,0.0,24.54,321.97,USD,N/A,N/A,N/A,2024-08-04
ORD-000109,2024-08-04,2024-08-04 19:23:17,C00097,In-Store,ST-002,Completed,PayPal,,1,1,64.99,5.2,59.79,0.0,4.93,64.72,USD,N/A,N/A,N/A,2024-08-04
ORD-000110,2024-08-04,2024-08-04 07:32:43,C01820,Online,ST-999,Completed,Apple Pay,,1,1,47.99,3.84,44.15,6.99,3.64,54.78,USD,Boston,MA,02108,2024-08-07
ORD-000111,2024-08-04,2024-08-04 20:48:10,C02972,In-Store,ST-008,Completed,Cash,,3,5,337.95,16.9,321.05,0.0,26.49,347.54,USD,N/A,N/A,N/A,2024-08-04
ORD-000112,2024-08-04,2024-08-04 23:20:11,C00854,In-Store,ST-010,Completed,Cash,,2,4,110.96,0.0,110.96,0.0,9.15,120.11,USD,N/A,N/A,N/A,2024-08-04
ORD-000113,2024-08-04,2024-08-04 10:54:25,C02240,In-Store,ST-011,Completed,Credit Card,,2,2,186.98,0.0,186.98,0.0,15.43,202.41,USD,N/A,N/A,N/A,2024-08-04
ORD-000114,2024-08-04,2024-08-04 07:38:25,C01226,In-Store,ST-003,Completed,Apple Pay,,2,3,126.97,0.0,126.97,0.0,10.48,137.45,USD,N/A,N/A,N/A,2024-08-04
ORD-000115,2024-08-04,2024-08-04 09:39:02,C00141,Online,ST-999,Completed,Apple Pay,,1,2,73.98,20.71,53.27,6.99,4.39,64.65,USD,Seattle,WA,98101,2024-08-07
ORD-000116,2024-08-04,2024-08-04 10:05:45,C01452,Online,ST-999,Completed,Debit Card,,4,7,2486.93,310.79,2176.14,0.0,179.53,2355.67,USD,Columbus,OH,43215,2024-08-06
ORD-000117,2024-08-04,2024-08-04 11:52:08,C02599,Online,ST-999,Completed,Debit Card,,1,3,1046.97,31.41,1015.56,0.0,83.78,1099.34,USD,New York,NY,10007,2024-08-07
ORD-000118,2024-08-04,2024-08-04 17:24:43,C00129,Online,ST-999,Completed,Credit Card,,1,2,25.98,0.0,25.98,9.99,2.14,38.11,USD,Denver,CO,80202,2024-08-05
ORD-000119,2024-08-04,2024-08-04 16:51:53,C02319,In-Store,ST-002,Completed,Apple Pay,,1,1,278.99,0.0,278.99,0.0,23.02,302.01,USD,N/A,N/A,N/A,2024-08-04
ORD-000120,2024-08-04,2024-08-04 18:06:21,C00344,In-Store,ST-001,Cancelled,Credit Card,,2,6,111.94,5.6,106.34,0.0,8.77,115.11,USD,N/A,N/A,N/A,
ORD-000121,2024-08-04,2024-08-04 15:52:50,C02491,Online,ST-999,Cancelled,Debit Card,,1,1,9.99,0.3,9.69,9.99,0.8,20.48,USD,New York,NY,10007,
ORD-000122,2024-08-04,2024-08-04 19:09:20,C02954,In-Store,ST-010,Completed,Cash,,2,2,106.98,0.0,106.98,0.0,8.83,115.81,USD,N/A,N/A,N/A,2024-08-04
ORD-000123,2024-08-04,2024-08-04 17:52:34,C02835,Online,ST-999,Completed,Apple Pay,,2,2,373.98,0.0,373.98,0.0,30.85,404.83,USD,Seattle,WA,98101,2024-08-06
ORD-000124,2024-08-04,2024-08-04 09:02:09,C00566,Online,ST-999,Completed,PayPal,,1,1,110.99,31.08,79.91,0.0,6.59,86.5,USD,Columbus,OH,43215,2024-08-09
ORD-000125,2024-08-04,2024-08-04 15:21:14,C01316,Online,ST-999,Completed,Gift Card,,2,2,106.98,3.21,103.77,0.0,8.56,112.33,USD,New York,NY,10007,2024-08-06
ORD-000126,2024-08-04,2024-08-04 15:41:19,C00999,Online,ST-999,Completed,Credit Card,,4,6,314.94,15.75,299.19,0.0,24.68,323.87,USD,Miami,FL,33130,2024-08-06
ORD-000127,2024-08-04,2024-08-04 13:05:45,C00373,Online,ST-999,Completed,Debit Card,,1,1,21.99,0.66,21.33,6.99,1.76,30.08,USD,Columbus,OH,43215,2024-08-05
ORD-000128,2024-08-04,2024-08-04 12:28:54,C01236,Online,ST-999,Completed,Credit Card,,1,1,67.99,0.0,67.99,6.99,5.61,80.59,USD,Los Angeles,CA,90012,2024-08-08
ORD-000129,2024-08-04,2024-08-04 14:46:40,C00686,In-Store,ST-004,Completed,Credit Card,,2,2,103.98,21.25,82.73,0.0,6.83,89.56,USD,N/A,N/A,N/A,2024-08-04
ORD-000130,2024-08-04,2024-08-04 10:31:11,C00758,Online,ST-999,Completed,Debit Card,,1,1,63.99,0.0,63.99,6.99,5.28,76.26,USD,Dallas,TX,75201,2024-08-06
ORD-000131,2024-08-05,2024-08-05 18:53:57,C01429,Online,ST-999,Completed,Debit Card,,1,1,117.99,5.9,112.09,0.0,9.25,121.34,USD,Columbus,OH,43215,2024-08-06
ORD-000132,2024-08-05,2024-08-05 14:06:32,C02344,Online,ST-999,Completed,Credit Card,,1,1,125.99,6.3,119.69,0.0,9.87,129.56,USD,Miami,FL,33130,2024-08-12
ORD-000133,2024-08-05,2024-08-05 21:42:06,C02447,In-Store,ST-004,Completed,Debit Card,,3,8,613.92,53.31,560.61,0.0,46.25,606.86,USD,N/A,N/A,N/A,2024-08-05
ORD-000134,2024-08-05,2024-08-05 15:51:45,C00836,Online,ST-999,Completed,PayPal,,2,4,652.96,1.9,651.06,0.0,53.71,704.77,USD,Los Angeles,CA,90012,2024-08-10
ORD-000135,2024-08-05,2024-08-05 14:17:29,C00155,Online,ST-999,Completed,Credit Card,,3,3,300.97,63.63,237.34,0.0,19.58,256.92,USD,Austin,TX,78701,2024-08-07
ORD-000136,2024-08-05,2024-08-05 20:47:46,C01576,In-Store,ST-006,Completed,Debit Card,,2,3,741.97,0.0,741.97,0.0,61.21,803.18,USD,N/A,N/A,N/A,2024-08-05
ORD-000137,2024-08-05,2024-08-05 17:54:26,C00581,Online,ST-999,Completed,Credit Card,,1,1,21.99,0.0,21.99,9.99,1.81,33.79,USD,Philadelphia,PA,19106,2024-08-12
